"Source:","/Users/erik/work/atomic_clock/kicad/atomic_clock.kicad_sch"
"Date:","Monday, June 06, 2022 at 12:07:27 AM"
"Tool:","Eeschema (6.0.4-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","80"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mfr","Mfr No.","Notes"
"","","BT1","Varta CP1654 A3","Device:Battery_Cell","local_footprints:Battery_pads","https://www.texim-europe.com/product/63165201018-VAR","","",""
"","","C1","100nF 885012207016","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.be/datasheet/2/445/885012207016-1727611.pdf","","",""
"","","C2","10uF CL21A106KPFNNNF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.be/datasheet/2/585/MLCC-1837944.pdf","","",""
"","","C3","10uF CL21A106KPFNNNF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.be/datasheet/2/585/MLCC-1837944.pdf","","",""
"","","C4","100nF 885012207016","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.be/datasheet/2/445/885012207016-1727611.pdf","","",""
"","","C5","1uF 885012207051","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.be/datasheet/2/445/885012207051-1727669.pdf","","",""
"","","C6","100nF 885012207016","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.be/datasheet/2/445/885012207016-1727611.pdf","","",""
"","","C7","100nF 885012207016","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.be/datasheet/2/445/885012207016-1727611.pdf","","",""
"","","C8","100nF 885012207016","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.be/datasheet/2/445/885012207016-1727611.pdf","","",""
"","","C9","4.7uF CL21A475KPFNNNE","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.be/datasheet/2/585/MLCC-1837944.pdf","","",""
"","","C10","4.7uF CL21A475KPFNNNE","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.be/datasheet/2/585/MLCC-1837944.pdf","","",""
"","","C11","10uF CL21A106KPFNNNF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.be/datasheet/2/585/MLCC-1837944.pdf","","",""
"","","D1","LED LTL-1224A","Device:LED","local_footprints:LED_D2.0mm_W4.8mm_H2.5mm_FlatTop","https://www.mouser.be/datasheet/2/239/lite-on_lites03148-1-1737336.pdf","","",""
"","","D2","LED LTL-1224A","Device:LED","local_footprints:LED_D2.0mm_W4.8mm_H2.5mm_FlatTop","https://www.mouser.be/datasheet/2/239/lite-on_lites03148-1-1737336.pdf","","",""
"","","D3","LED LTL-1224A","Device:LED","local_footprints:LED_D2.0mm_W4.8mm_H2.5mm_FlatTop","https://www.mouser.be/datasheet/2/239/lite-on_lites03148-1-1737336.pdf","","",""
"","","D4","LED LTL-1224A","Device:LED","local_footprints:LED_D2.0mm_W4.8mm_H2.5mm_FlatTop","https://www.mouser.be/datasheet/2/239/lite-on_lites03148-1-1737336.pdf","","",""
"","","D5","Diode S1M-13-F","Device:D","Diode_SMD:D_SMA","https://www.mouser.be/datasheet/2/115/DIOD_S_A0007810797_1-2542915.pdf","","",""
"","","D6","Diode S1M-13-F","Device:D","Diode_SMD:D_SMA","https://www.mouser.be/datasheet/2/115/DIOD_S_A0007810797_1-2542915.pdf","","",""
"","","D7","LED HSMS-C150","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.mouser.be/datasheet/2/678/av02-0551en-ds-hsmx-cxxx-05mar2012-1827675.pdf","","",""
"","","D8","Diode S1M-13-F","Device:D","Diode_SMD:D_SMA","https://www.mouser.be/datasheet/2/115/DIOD_S_A0007810797_1-2542915.pdf","","",""
"","","D9","Diode S1M-13-F","Device:D","Diode_SMD:D_SMA","https://www.mouser.be/datasheet/2/115/DIOD_S_A0007810797_1-2542915.pdf","","",""
"","","D10","LED HSMS-C150","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.mouser.be/datasheet/2/678/av02-0551en-ds-hsmx-cxxx-05mar2012-1827675.pdf","","",""
"","","J1","Conn_02x05_Top_Bottom","Connector_Generic:Conn_02x05_Top_Bottom","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~","","",""
"","","J2","Conn_02x05_Top_Bottom","Connector_Generic:Conn_02x05_Top_Bottom","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~","","",""
"","","J3","Conn_02x05_Top_Bottom","Connector_Generic:Conn_02x05_Top_Bottom","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~","","",""
"","","J4","Conn_02x05_Top_Bottom","Connector_Generic:Conn_02x05_Top_Bottom","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~","","",""
"","","J5","USB_B_Micro 1051330001","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105133-0001","https://www.molex.com/pdm_docs/sd/1051330001_sd.pdf","","",""
"","","J6","Conn_02x05_Top_Bottom","Connector_Generic:Conn_02x05_Top_Bottom","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~","","",""
"","","J7","Conn_02x05_Top_Bottom","Connector_Generic:Conn_02x05_Top_Bottom","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~","","",""
"","","J8","Conn_02x05_Top_Bottom","Connector_Generic:Conn_02x05_Top_Bottom","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~","","",""
